,게임,캐릭터,업데이트,번역,스토리,과금,가챠,플레이,플레이어,이벤트,디펜스,피로도,스테이지,생각,말,문제,운영,정도,시간,재미,자원,전략,접속,필요,서버,오류,시작,클리어,모바일,사람,무과금,머리,부족,최고,자동,난이도,지능,광고,진행,처음,계정,돈,추천,단점,출시,시스템,콘텐츠,뉴비,리뷰,마음,육성,확률,부분,설치,평점,자체,해결,화면,등급,요소,일러스트,유도,삭제,장점,이상,보상,오역,콜라보레이션,공략,운,다운로드,감사,추가,초반,한정,매력,만족,느낌,한국,배치,기능,레벨,코스튬,밸런스,수집,사용,부탁,하루,반복,개인,전투,개선,실행,복귀,답변,소리,기대,취향,노가다,음악
요소,59.0,31.0,8.0,6.0,28.0,39.0,14.0,18.0,14.0,12.0,21.0,7.0,19.0,12.0,6.0,7.0,8.0,7.0,8.0,14.0,10.0,13.0,4.0,11.0,7.0,2.0,5.0,13.0,8.0,10.0,9.0,6.0,8.0,7.0,6.0,8.0,5.0,1.0,9.0,6.0,1.0,6.0,11.0,11.0,8.0,11.0,7.0,4.0,2.0,6.0,10.0,0.0,11.0,1.0,3.0,6.0,0.0,1.0,9.0,0.0,7.0,5.0,0.0,11.0,5.0,4.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,7.0,1.0,3.0,8.0,5.0,8.0,2.0,4.0,2.0,1.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,6.0,4.0,4.0
일러스트,70.0,41.0,7.0,3.0,28.0,18.0,18.0,12.0,12.0,15.0,19.0,2.0,14.0,12.0,9.0,3.0,8.0,17.0,3.0,11.0,9.0,15.0,1.0,9.0,5.0,1.0,10.0,10.0,8.0,8.0,6.0,8.0,11.0,5.0,5.0,16.0,5.0,4.0,7.0,4.0,0.0,4.0,8.0,9.0,7.0,5.0,4.0,5.0,4.0,5.0,9.0,8.0,6.0,1.0,0.0,7.0,1.0,2.0,6.0,7.0,0.0,4.0,0.0,6.0,3.0,2.0,2.0,1.0,7.0,3.0,1.0,3.0,1.0,3.0,2.0,10.0,4.0,4.0,2.0,2.0,4.0,4.0,9.0,6.0,6.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,10.0
유도,76.0,30.0,8.0,8.0,24.0,95.0,11.0,15.0,14.0,13.0,15.0,7.0,15.0,25.0,9.0,11.0,4.0,17.0,12.0,6.0,10.0,10.0,2.0,9.0,3.0,3.0,8.0,12.0,10.0,6.0,11.0,13.0,9.0,7.0,7.0,11.0,9.0,3.0,16.0,3.0,0.0,5.0,5.0,7.0,6.0,9.0,3.0,6.0,5.0,7.0,9.0,8.0,7.0,1.0,1.0,3.0,2.0,0.0,14.0,5.0,4.0,0.0,0.0,7.0,7.0,4.0,3.0,1.0,6.0,1.0,1.0,2.0,5.0,3.0,4.0,7.0,2.0,6.0,4.0,5.0,2.0,7.0,11.0,8.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,6.0,0.0
삭제,35.0,3.0,23.0,3.0,5.0,2.0,6.0,10.0,2.0,5.0,1.0,0.0,1.0,5.0,5.0,11.0,3.0,7.0,4.0,4.0,1.0,2.0,17.0,2.0,5.0,6.0,7.0,0.0,6.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,5.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,16.0,0.0,0.0,1.0,1.0,24.0,3.0,5.0,16.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,9.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,7.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0
장점,67.0,30.0,8.0,6.0,23.0,27.0,19.0,21.0,17.0,14.0,10.0,18.0,34.0,16.0,9.0,10.0,8.0,15.0,12.0,7.0,19.0,12.0,3.0,12.0,3.0,4.0,7.0,24.0,8.0,8.0,9.0,11.0,17.0,8.0,8.0,17.0,8.0,0.0,12.0,3.0,0.0,5.0,6.0,44.0,8.0,9.0,6.0,6.0,3.0,4.0,8.0,8.0,8.0,1.0,3.0,6.0,0.0,2.0,16.0,11.0,6.0,7.0,0.0,0.0,10.0,6.0,2.0,2.0,8.0,3.0,0.0,1.0,4.0,6.0,7.0,5.0,3.0,6.0,4.0,7.0,2.0,3.0,7.0,6.0,6.0,7.0,2.0,2.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,4.0,6.0,1.0
이상,64.0,24.0,10.0,9.0,18.0,21.0,11.0,19.0,15.0,15.0,12.0,13.0,19.0,14.0,18.0,13.0,9.0,17.0,12.0,12.0,15.0,8.0,12.0,18.0,3.0,4.0,7.0,17.0,7.0,4.0,6.0,3.0,13.0,6.0,3.0,10.0,5.0,0.0,9.0,6.0,2.0,5.0,4.0,10.0,9.0,9.0,6.0,6.0,2.0,4.0,6.0,4.0,4.0,1.0,4.0,6.0,5.0,0.0,4.0,5.0,3.0,7.0,1.0,10.0,0.0,5.0,4.0,1.0,8.0,7.0,1.0,0.0,3.0,7.0,5.0,4.0,5.0,5.0,3.0,6.0,3.0,4.0,5.0,3.0,3.0,7.0,2.0,9.0,6.0,4.0,2.0,4.0,1.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0
보상,44.0,11.0,12.0,8.0,19.0,16.0,12.0,17.0,23.0,21.0,4.0,13.0,13.0,13.0,12.0,6.0,11.0,15.0,11.0,3.0,10.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0,5.0,8.0,4.0,6.0,13.0,0.0,6.0,9.0,3.0,4.0,10.0,2.0,0.0,8.0,4.0,8.0,5.0,5.0,13.0,5.0,2.0,3.0,3.0,6.0,4.0,0.0,3.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,1.0,6.0,5.0,0.0,1.0,3.0,5.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,0.0,4.0,4.0,4.0,0.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,7.0,1.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
오역,28.0,7.0,22.0,33.0,8.0,9.0,1.0,4.0,11.0,11.0,0.0,0.0,3.0,9.0,12.0,15.0,11.0,5.0,2.0,0.0,0.0,2.0,0.0,2.0,8.0,7.0,2.0,5.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,4.0,1.0,9.0,3.0,4.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
콜라보레이션,34.0,8.0,12.0,41.0,3.0,8.0,7.0,3.0,16.0,15.0,2.0,1.0,4.0,6.0,13.0,16.0,19.0,6.0,5.0,3.0,2.0,0.0,0.0,1.0,13.0,12.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,7.0,2.0,2.0,11.0,0.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,7.0,2.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0
공략,52.0,25.0,2.0,4.0,23.0,18.0,11.0,15.0,12.0,15.0,12.0,6.0,28.0,14.0,7.0,7.0,3.0,16.0,9.0,13.0,10.0,7.0,2.0,12.0,4.0,1.0,11.0,14.0,3.0,10.0,11.0,14.0,9.0,1.0,4.0,15.0,16.0,1.0,5.0,5.0,1.0,3.0,14.0,14.0,5.0,5.0,4.0,9.0,4.0,4.0,8.0,4.0,5.0,1.0,3.0,9.0,2.0,2.0,8.0,6.0,7.0,6.0,0.0,8.0,8.0,5.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,6.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0
운,37.0,15.0,13.0,3.0,12.0,17.0,26.0,8.0,14.0,9.0,5.0,6.0,8.0,11.0,6.0,8.0,6.0,5.0,10.0,5.0,9.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,6.0,8.0,7.0,6.0,6.0,4.0,1.0,7.0,8.0,3.0,2.0,10.0,0.0,9.0,4.0,4.0,4.0,3.0,5.0,8.0,5.0,4.0,6.0,7.0,2.0,6.0,0.0,5.0,1.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,7.0,1.0,1.0,1.0,3.0,0.0,6.0,3.0,2.0,7.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,0.0,4.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0
다운로드,32.0,3.0,21.0,2.0,3.0,3.0,4.0,10.0,4.0,2.0,3.0,0.0,1.0,4.0,3.0,6.0,0.0,1.0,3.0,1.0,0.0,3.0,7.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,5.0,2.0,6.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,9.0,0.0,2.0,3.0,7.0,0.0,2.0,1.0,1.0,9.0,0.0,1.0,2.0,0.0,1.0,0.0,6.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0
감사,48.0,14.0,12.0,11.0,14.0,8.0,12.0,16.0,10.0,8.0,7.0,4.0,6.0,10.0,8.0,4.0,10.0,3.0,6.0,4.0,6.0,4.0,4.0,4.0,3.0,6.0,6.0,2.0,4.0,5.0,2.0,1.0,7.0,7.0,4.0,2.0,1.0,2.0,3.0,6.0,3.0,0.0,4.0,1.0,3.0,4.0,1.0,3.0,6.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,1.0,1.0,2.0,3.0,3.0,5.0,0.0,2.0,1.0,4.0,3.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,5.0,1.0,6.0,0.0,0.0,2.0
추가,42.0,16.0,7.0,7.0,16.0,13.0,13.0,19.0,12.0,13.0,8.0,8.0,10.0,12.0,9.0,10.0,7.0,10.0,7.0,4.0,9.0,8.0,6.0,8.0,5.0,4.0,4.0,6.0,5.0,3.0,4.0,6.0,7.0,2.0,11.0,7.0,3.0,0.0,8.0,8.0,5.0,2.0,5.0,5.0,4.0,10.0,11.0,7.0,4.0,2.0,4.0,5.0,6.0,7.0,4.0,3.0,6.0,5.0,4.0,2.0,1.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,6.0,6.0,0.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,7.0,4.0,3.0,0.0,5.0,4.0,4.0,2.0,9.0,3.0,6.0,3.0,2.0,4.0,2.0,2.0,4.0,0.0,7.0,1.0
초반,48.0,18.0,2.0,3.0,21.0,15.0,11.0,11.0,10.0,10.0,8.0,14.0,17.0,14.0,12.0,9.0,6.0,17.0,10.0,7.0,14.0,5.0,4.0,12.0,1.0,0.0,7.0,8.0,3.0,6.0,6.0,9.0,14.0,2.0,7.0,11.0,9.0,0.0,10.0,10.0,1.0,3.0,8.0,9.0,4.0,10.0,8.0,12.0,1.0,3.0,9.0,2.0,5.0,1.0,0.0,4.0,0.0,2.0,6.0,2.0,3.0,3.0,2.0,6.0,7.0,4.0,0.0,0.0,3.0,7.0,0.0,1.0,3.0,0.0,2.0,4.0,1.0,6.0,0.0,5.0,2.0,7.0,1.0,4.0,1.0,2.0,3.0,6.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0
한정,36.0,15.0,2.0,4.0,14.0,17.0,27.0,11.0,16.0,12.0,4.0,7.0,13.0,11.0,13.0,7.0,6.0,11.0,5.0,7.0,13.0,8.0,1.0,6.0,7.0,0.0,6.0,9.0,7.0,4.0,5.0,7.0,9.0,7.0,3.0,10.0,5.0,2.0,8.0,3.0,1.0,4.0,6.0,9.0,6.0,6.0,5.0,11.0,1.0,4.0,7.0,13.0,6.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,2.0,4.0,0.0,7.0,5.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,6.0,1.0,3.0,3.0,4.0,6.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0
매력,65.0,50.0,7.0,8.0,27.0,16.0,16.0,22.0,13.0,10.0,17.0,3.0,14.0,20.0,9.0,4.0,8.0,18.0,5.0,5.0,4.0,16.0,2.0,6.0,5.0,2.0,8.0,11.0,3.0,14.0,5.0,9.0,4.0,6.0,3.0,9.0,6.0,2.0,10.0,4.0,0.0,1.0,7.0,4.0,8.0,8.0,6.0,5.0,3.0,1.0,9.0,3.0,12.0,0.0,2.0,4.0,2.0,1.0,5.0,5.0,10.0,7.0,0.0,5.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,4.0,5.0,4.0,6.0,4.0,3.0,4.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,6.0,3.0,3.0,4.0
만족,61.0,19.0,7.0,11.0,21.0,18.0,10.0,17.0,19.0,14.0,10.0,12.0,8.0,10.0,7.0,12.0,9.0,10.0,6.0,10.0,11.0,6.0,1.0,4.0,8.0,1.0,8.0,10.0,6.0,7.0,11.0,6.0,9.0,1.0,6.0,5.0,4.0,4.0,9.0,4.0,1.0,3.0,4.0,5.0,5.0,4.0,7.0,3.0,3.0,7.0,5.0,2.0,7.0,0.0,3.0,6.0,4.0,0.0,2.0,3.0,4.0,2.0,1.0,3.0,5.0,4.0,6.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,0.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,5.0,3.0,4.0,1.0,1.0,0.0,1.0,5.0,1.0,2.0,2.0
느낌,61.0,24.0,3.0,5.0,17.0,18.0,18.0,15.0,15.0,11.0,14.0,9.0,11.0,17.0,18.0,9.0,8.0,10.0,10.0,9.0,12.0,11.0,2.0,9.0,3.0,2.0,12.0,7.0,7.0,10.0,6.0,6.0,14.0,1.0,5.0,7.0,6.0,5.0,7.0,7.0,1.0,7.0,8.0,8.0,8.0,8.0,12.0,9.0,4.0,4.0,10.0,6.0,5.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,4.0,6.0,2.0,6.0,5.0,2.0,2.0,1.0,5.0,5.0,1.0,3.0,3.0,6.0,6.0,5.0,3.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
한국,39.0,13.0,10.0,19.0,12.0,10.0,2.0,16.0,20.0,9.0,6.0,1.0,4.0,10.0,13.0,8.0,17.0,7.0,1.0,5.0,3.0,4.0,0.0,4.0,24.0,8.0,2.0,5.0,9.0,8.0,4.0,0.0,5.0,2.0,0.0,1.0,2.0,4.0,9.0,5.0,0.0,8.0,1.0,7.0,6.0,0.0,5.0,2.0,4.0,3.0,1.0,2.0,7.0,0.0,2.0,5.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,5.0,4.0,0.0,1.0,4.0,5.0,3.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0,6.0,2.0,4.0,2.0,1.0,4.0
배치,44.0,25.0,4.0,4.0,11.0,12.0,7.0,10.0,11.0,7.0,20.0,9.0,17.0,22.0,7.0,4.0,5.0,10.0,5.0,9.0,9.0,12.0,1.0,8.0,5.0,3.0,4.0,9.0,6.0,6.0,5.0,12.0,5.0,1.0,8.0,3.0,3.0,0.0,5.0,7.0,0.0,2.0,4.0,6.0,6.0,7.0,3.0,7.0,1.0,4.0,5.0,4.0,10.0,0.0,0.0,5.0,0.0,2.0,9.0,7.0,2.0,5.0,0.0,7.0,6.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,6.0,2.0,2.0,3.0,0.0,2.0,6.0,3.0,3.0,5.0,4.0,1.0,2.0,2.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
기능,32.0,11.0,8.0,3.0,8.0,7.0,12.0,6.0,5.0,4.0,6.0,5.0,10.0,9.0,4.0,3.0,1.0,4.0,8.0,3.0,10.0,4.0,3.0,11.0,2.0,2.0,7.0,6.0,3.0,7.0,2.0,4.0,5.0,1.0,16.0,2.0,4.0,1.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,6.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,3.0,1.0,2.0,2.0,7.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,14.0,3.0,10.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,3.0,0.0
레벨,38.0,17.0,3.0,2.0,10.0,19.0,16.0,7.0,11.0,8.0,10.0,14.0,15.0,11.0,10.0,4.0,3.0,10.0,9.0,6.0,13.0,5.0,3.0,10.0,2.0,2.0,6.0,9.0,3.0,7.0,7.0,7.0,13.0,5.0,5.0,8.0,5.0,1.0,6.0,4.0,1.0,4.0,3.0,8.0,2.0,10.0,7.0,6.0,2.0,2.0,7.0,5.0,8.0,0.0,0.0,5.0,0.0,1.0,3.0,3.0,4.0,7.0,0.0,3.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,1.0,4.0,7.0,4.0,3.0,4.0,2.0,0.0,6.0,3.0,0.0,4.0,4.0,5.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,1.0,3.0,2.0,0.0,4.0,1.0,10.0,0.0
코스튬,37.0,21.0,7.0,5.0,18.0,20.0,11.0,12.0,6.0,13.0,7.0,1.0,6.0,12.0,3.0,4.0,4.0,10.0,10.0,4.0,8.0,6.0,1.0,6.0,2.0,2.0,5.0,4.0,6.0,3.0,6.0,6.0,6.0,3.0,5.0,7.0,1.0,0.0,7.0,4.0,1.0,4.0,2.0,10.0,6.0,7.0,2.0,2.0,2.0,6.0,3.0,3.0,9.0,0.0,0.0,3.0,1.0,0.0,5.0,8.0,9.0,11.0,0.0,7.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,6.0,4.0,2.0,3.0,4.0,3.0,1.0,4.0,0.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0
밸런스,54.0,28.0,7.0,4.0,16.0,24.0,13.0,16.0,9.0,6.0,13.0,5.0,15.0,12.0,6.0,4.0,10.0,7.0,6.0,8.0,9.0,12.0,3.0,6.0,2.0,2.0,5.0,12.0,8.0,4.0,12.0,6.0,5.0,5.0,5.0,7.0,4.0,2.0,8.0,2.0,1.0,3.0,3.0,8.0,6.0,5.0,1.0,2.0,2.0,3.0,5.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,10.0,5.0,6.0,8.0,0.0,6.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,0.0,5.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,1.0
수집,59.0,21.0,4.0,3.0,16.0,19.0,14.0,13.0,15.0,10.0,25.0,7.0,16.0,11.0,6.0,4.0,4.0,7.0,4.0,10.0,13.0,11.0,0.0,6.0,3.0,1.0,8.0,15.0,9.0,10.0,7.0,8.0,8.0,4.0,6.0,11.0,3.0,1.0,7.0,5.0,0.0,3.0,12.0,6.0,6.0,7.0,3.0,7.0,2.0,1.0,9.0,2.0,6.0,0.0,4.0,4.0,1.0,0.0,10.0,8.0,6.0,7.0,0.0,6.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,7.0,2.0,4.0,0.0,5.0,4.0,5.0,3.0,5.0,0.0,2.0,0.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,6.0,2.0
사용,40.0,13.0,10.0,3.0,8.0,14.0,9.0,21.0,10.0,5.0,4.0,12.0,15.0,12.0,8.0,9.0,3.0,14.0,6.0,1.0,9.0,7.0,7.0,7.0,2.0,4.0,8.0,9.0,6.0,4.0,7.0,5.0,10.0,1.0,3.0,8.0,6.0,0.0,5.0,1.0,4.0,2.0,3.0,9.0,5.0,5.0,6.0,2.0,6.0,3.0,4.0,2.0,3.0,4.0,0.0,5.0,2.0,3.0,4.0,2.0,3.0,5.0,3.0,7.0,7.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,6.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0
부탁,36.0,9.0,24.0,5.0,3.0,3.0,7.0,16.0,9.0,7.0,5.0,4.0,7.0,9.0,5.0,6.0,6.0,2.0,3.0,3.0,3.0,1.0,11.0,3.0,1.0,8.0,8.0,3.0,5.0,3.0,0.0,0.0,1.0,2.0,5.0,3.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,0.0,2.0,5.0,5.0,2.0,3.0,3.0,1.0,4.0,3.0,5.0,2.0,2.0,8.0,6.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,0.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0
하루,35.0,9.0,11.0,6.0,5.0,15.0,8.0,14.0,6.0,8.0,5.0,21.0,7.0,10.0,8.0,7.0,6.0,16.0,13.0,4.0,8.0,6.0,6.0,4.0,6.0,1.0,6.0,6.0,3.0,5.0,5.0,2.0,8.0,0.0,5.0,3.0,1.0,0.0,3.0,2.0,0.0,4.0,6.0,10.0,4.0,2.0,4.0,3.0,4.0,6.0,3.0,1.0,4.0,2.0,0.0,6.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,9.0,4.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,6.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0
반복,34.0,15.0,7.0,2.0,6.0,7.0,7.0,8.0,3.0,7.0,4.0,5.0,14.0,7.0,6.0,7.0,2.0,5.0,7.0,7.0,11.0,3.0,2.0,8.0,1.0,0.0,7.0,7.0,7.0,6.0,2.0,4.0,8.0,2.0,16.0,4.0,3.0,2.0,3.0,9.0,0.0,3.0,2.0,6.0,3.0,6.0,8.0,2.0,2.0,3.0,5.0,1.0,2.0,3.0,1.0,5.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,6.0,5.0,2.0,1.0,9.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,14.0,5.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0
개인,51.0,23.0,6.0,6.0,23.0,11.0,16.0,18.0,17.0,14.0,12.0,6.0,14.0,21.0,8.0,11.0,7.0,14.0,11.0,12.0,13.0,5.0,1.0,8.0,3.0,0.0,9.0,10.0,7.0,10.0,7.0,6.0,7.0,6.0,5.0,6.0,3.0,1.0,5.0,4.0,0.0,5.0,6.0,7.0,1.0,7.0,7.0,6.0,1.0,4.0,7.0,2.0,9.0,0.0,8.0,4.0,1.0,0.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,5.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,4.0,3.0
전투,26.0,17.0,3.0,0.0,9.0,5.0,9.0,9.0,3.0,2.0,6.0,5.0,10.0,5.0,2.0,1.0,1.0,6.0,8.0,4.0,11.0,8.0,0.0,4.0,0.0,0.0,3.0,7.0,4.0,8.0,2.0,3.0,4.0,3.0,23.0,5.0,2.0,0.0,7.0,6.0,0.0,2.0,1.0,4.0,3.0,10.0,6.0,5.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,3.0,1.0,3.0,3.0,2.0,0.0,5.0,10.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,12.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0
개선,33.0,12.0,11.0,17.0,14.0,5.0,3.0,6.0,13.0,7.0,1.0,12.0,5.0,13.0,13.0,12.0,8.0,11.0,9.0,1.0,8.0,5.0,1.0,8.0,4.0,7.0,6.0,5.0,5.0,4.0,5.0,1.0,11.0,2.0,8.0,2.0,1.0,3.0,8.0,1.0,0.0,2.0,3.0,4.0,5.0,3.0,7.0,3.0,0.0,1.0,2.0,4.0,12.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,5.0,4.0,7.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0
